,species_guess
6378,Chirping Cicada
6380,Gray Hawk
6381,Resh Cicada
6382,Rufous-throated Fulvetta
6386,Pin-striped Tit-Babbler
6387,Tomopterna cryptotis
6388,Platypleura techowi
6392,Hausrotschwanz
6400,Okanagana vandykei
6402,Lanius collurio
6403,white-eyed eastern towhee
6409,Grey Tit
6410,Bokmakierie
6411,Cape Wagtail
6412,Elanus caeruleus caeruleus
6414,Cicadatra platyptera
6415,Okanagana bella
6421,Southern Lion
6426,Indian Flying Fox
6427,Eunemobius carolinus
6431,Royal Tern
6436,Pallid Swift
6438,Ochre-flanked Tapaculo
6441,"Hawks, Eagles, and Kites"
6442,Long-tailed Tit
6443,Kalahari Fork-tailed Drongo
6448,Malabar Wart Frog
6457,Páramo Pipit
6459,Ptenopus
6460,Tinkling Ground Cricket
6462,Pygmy Nuthatch
6463,Crackling Forest Grasshopper
6464,Ornate Frog
6466,Metallic Starling
6468,Southern Black Sunbird
6469,Melaenornis silens
6474,Northern Mole Cricket
6475,Leucostethus fraterdanieli
6477,Davis's Southeastern Dog-day Cicada
6479,sauterelle à grandes ailes
6485,Graceful Meadow Katydid
6486,극동귀뚜라미
6487,왕귀뚜라미
6489,Wandering Tattler
6491,Lesson's Mimicking Snout-nose
6492,Pinocchio Frog
6494,Rattler Round-winged Katydid
6502,Cegarrão-Plebeu
6504,White-cheeked rosella
6505,Willie Wagtail
6506,Slender Meadow Katydid
6508,Alpine Swift
6510,Common True Katydid
6516,Eastern Spotted Skunk
6520,Chilean Burrowing Parakeet
6521,Mistle Thrush
6523,Common Hill Myna
6525,Lesser Anglewing
6530,Murciélago-moreno norteamericano
6533,Afrixalus fulvovittatus
6534,Common Button Lichen
6535,Choca corona rojiza
6536,Acrocephalus
6538,Waxeye
6542,troglodyte des forêts
6543,Tadaride de Cestoni
6545,Anaxipha tinnulacita
6548,Riley's Tree Cricket
6550,Aglaothorax ovata armiger
6551,Interior West White-breasted Nuthatch
6556,Rocky Mountain Cicada
6558,Sierra Shieldback
6562,Fairy Gerygone
6563,Decticelle bariolée
6566,Round-tipped Conehead
6567,Mississippi Sandhill Crane
6575,Steppe Grasshopper
6576,Nachtigall-Grashüpfer
6582,Common Meadow Katydid
6588,Stethophyma lineatum
6590,Prairie Tree Cricket
6591,African Stonechat [torquatus]
6594,黑眶蟾蜍
6597,Common Ground-Dove
6598,grillon à cornes noires
6599,Broad-winged tree cricket
6600,Jumping Bush Cricket
6603,Eurasian Moorhen
6605,Bembix cameronis
6607,Mountain Stream Tree Frog
6608,red-backed toadlet
6609,Forest Raven
6610,Scudderia
6611,Scudderia septentrionalis
6614,Northern Short-tailed Shrew
6615,Lesser Pine Katydid
6618,Verreaux's Tree Frog
6620,Peron's Tree Frog
6622,Marsh meadow grasshopper
6628,綠畫眉
6629,Golden-headed Cisticola
6630,Sphex
6641,White-cheeked Honeyeater
6646,Lora cabeciamarilla
6651,North Island Rifleman
6653,Passeriformes
6654,Davis' Tree Cricket
6657,巨嘴鴉
6661,Orchelimum
6663,Brown Firetail
6664,Arizona Meadow Katydid
6665,Erithacus rubecula
6667,Red-crested Bustard
6671,bittersweet nightshade
6672,Discoglossus galganoi
6673,Galapagos Oystercatcher
6674,Western Small-footed Myotis
6675,Vespertilioninae
6695,Hadoa parallela
6698,Pallid Bat
6705,Jackal Buzzard
6707,Mouette rieuse
6711,Western Tree Cricket
6712,Ball’s Shieldback
6713,台灣藍鵲
6714,Psorodonotus illyricus
6715,Acacia Pied Barbet
6717,Sylvietta rufescens diverga
6718,Gabbiano comune
6719,Huppe fasciée
6720,Eurasian Scops Owl
6722,Prairie Merlin
6724,Ornate Sunbird
6725,Southern Tchagra
6726,遠東喜鵲
6727,家燕
6733,Walker's Annual Cicada
6736,Камышовка-Барсучок
6737,Telophorus olivaceus olivaceus
6738,Military Macaw
6739,Amazilia beryllina
6743,Long-billed Sunbird
6745,Olive-backed Oriole
6748,Carpintero mexicano
6749,Pipit de Richard
6750,Australian Reed Warbler
6754,Épomophore de Gambie
6755,Florida Scrub-Jay
6762,Buntspecht
6765,Pobblebonk
6768,Squelching Froglet
6771,Dharug Squeaker
6774,Lesser Redpoll
6775,Loica común
6776,Lasionycteris noctivagans
6777,Myotis yumanensis
6779,Dendropsophus melanargyreus
6784,Doradito limón
6786,Esmereldas Robber Frog
6787,Diasporus tinker
6788,Olivengrå Myrepitta
6789,Ramphastos brevis
6790,Vireo
6794,Yellow-throated Tinkerbird
6798,Grey Crowned Crane
6807,Yellow-tailed Black-Cockatoo
6811,Zwergfledermaus
6817,Horsfield's Bronze-Cuckoo
6818,Poodytes gramineus
6824,Vireos
6827,Sulawesi Scops-Owl
6829,Gilbert's Whistler
6830,Syrbula
6834,Cigarras
6836,Variegated June Beetle
6837,Cicadidae
6839,Sabiá-do-barranco
6840,Southern Grey-headed Sparrow
6841,Black-banded Owl
6842,Crescent Honeyeater
6844,Red-breasted Toucan
6845,Masked Woodswallow
6846,White-winged Triller
6847,Curl-crested Jay
6848,Gilded Flicker
6852,Robust Ground Crickets
6855,Australian Little Penguin
6856,Fiery-breasted Bushshrike
6858,Pink-footed Goose
6861,Winged and Once-winged Insects
6875,Ranas grillo enanas
6878,Zorzal azulado
6879,Andinobates opisthomelas
6880,Centrolene savagei
6882,"Raben, Krähen und Dohlen"
6884,Pale-breasted Thrush
6886,Boana rosenbergi
6888,grand-duc d'Amérique
6890,Rabenkrähe
6893,Dusky Grouse
6898,Red Squeaker
6900,Rayadito
6902,Southern Caracara
6905,Grey-headed Bushshrike
6907,大卷尾
6911,Common Brown Lemur
6913,Periquitão
6917,黑枕藍鶲
6918,Brown-hooded Kingfisher
6920,White-throated Robin-Chat
6925,Trigs and Sword-tailed Crickets
6927,Broadborder Cicadas
6928,Corrugated Water Frog
6929,Sri Lanka Rock Frog
6930,Reticulate Tree Frog
6931,Sri Lankan Golden-backed Frog
6936,Hummeln
6938,Grey-brown pug-snouted frog
6939,Common Shrub Frog
6940,Günther's Golden-backed Frog
6941,Ornamented Pygmy Frog
6942,Half-webbed Pug-snouted Frog
6944,Common Teal
6945,Australian Swamphen
6949,Ipswich Sparrow
6950,tordo patagón
6959,White-eyed Parakeet
6960,Common Bulbul
6962,Animalia
6963,Gewöhnliche Strauchschrecke
6964,Fidicina
6969,Lesser Snow Goose
6971,Sabiá-Laranjeira
6972,Hyperolius marmoratus verrucosus
6978,Natal sand frog
6979,Eastern Flat-backed Toad
6980,Glaucopsaltria viridis
6981,Gru
6986,Admirable Grasshopper
6993,Myopsalta
6994,Purple Sunbird
6998,Streaked Flycatcher
6999,ʻOmaʻo
7000,ʻIʻiwi
7001,Black-bellied Plover
7004,Mole Crickets
7007,Green-barred Woodpecker
7010,Southern Lapwing
7011,Pied Stilt
7013,Rohrschwirl
7014,Gryllotalpa vineae
7018,Schwanzmeise
7020,Misteldrossel
7023,Guira Cuckoo
7025,Spotted Grass Frog
7032,Oriental Forest Lizards
7033,Cape Canary
7039,Wasseramsel
7040,Yungasacris peruviana
7042,North Island Kokako
7043,Haswell's Froglet
7050,Asemospiza obscura
7051,Ammodramus humeralis
7052,Donacospiza albifrons
7054,Ameerega munduruku
7055,River Ambertail
7060,Plains Spadefoot
7066,Different-horned tree cricket
7068,White-faced Whistling-Duck
7070,Rufous-bellied Thrush
7072,Schneider's Toad
7076,Rope Squirrels
7081,Australian Green Figbird
7083,Boana platanera
7089,Jungle Myna
7090,Black Scoter
7093,Tiere
7094,Bubo virginianus
7097,Blacksmith Tree Frog
7099,Olive Whistler
7102,Red Wattlebird
7103,Moineau domestique
7104,White-browed Woodswallow
7105,Southern Brown Tree Frog
7106,Red-breasted Parakeet
7108,crécerelle d'Amérique
7111,螽斯科
7112,Обыкновенный дубонос
7113,Bernache du Canada
7116,Cinnyris
7117,Domestic Greylag × Domestic Swan Goose
7118,Colibrí Rutilante
7119,Anthophora plumipes
7120,Monomatapa insignis
7123,Wrinkle-lipped Bat
7125,Chestnut-mandibled Toucan
7126,Ring-necked Dove [capicola]
7127,Wrens
7128,Quero-Quero
7131,Trichoglossus moluccanus
7133,Tordo Sudamericano
7136,Common Rain Frog
7139,Terrestrial Brownbul
7140,Atlantic Brant
7141,corneille d'Amérique
7143,Madeira Firecrest
7144,Madeiran Chaffinch
7145,Eneoptera
7147,Tandy's sand frog
7150,Large Widehead Cicada
7152,Dendropsophus microcephalus
7154,"Ducks, Geese, and Swans"
7157,Stout-billed Cinclodes
7162,Typical Parrotlets
7164,Varpunen
7168,Prevost's Squirrel
7169,paruline à gorge grise
7174,Cannaiola Verdognola
7183,Black-collared Hawk
7187,British Yellowhammer
7191,紡織娘
7193,Boana calcarata
7194,Hyalinobatrachium cappellei
7197,American Dipper
7198,Scinax garbei
7204,Haarapääsky
7207,Black-and-white Owl
7209,Bananaquit
7211,Räkättirastas
7215,Talitiainen
7217,Viherpeippo
7218,Agulhas Long-billed Lark
7229,Sabiá-laranjeira
7233,Galápagos Sea Lion
7235,Swallow-tailed Hummingbird
7236,Blackish-headed Spinetail
7240,mésange à tête noire
7242,Boana geographica
7243,American beech
7246,Southern Mole Cricket
7255,Nyctinomops
7257,Лесная завирушка
7258,Воробьинообразные
7261,Koolmees
7262,Harlequin Duck
7271,Smoke-colored Pewee
7273,Chocard à bec jaune
7274,petite buse
7278,Long-whiskered Owlet
7279,Azores Starling
7282,Cyphochilus
7283,Seidenschwanz
7289,Taiwan Scimitar-Babbler
7295,épervier de Cooper
7296,Osteocephalus leprieurii
7297,Pyrrhula pyrrhula pyrrhula
7300,Spalding Peafowl
7301,Passer domesticus domesticus
7303,Chestnut-collared Longspur
7304,Dendropsophus leucophyllatus
7314,Horned Passalus Beetle
7319,Erlenzeisig
7321,Southern Fiscal [collaris]
7322,Pinzón Común
7324,고라니
7325,Red-chested Cuckoo
7329,Meerkoet
7330,Fauvette des jardins
7333,Tervapääsky
7337,Tilhi
7338,Puukiipijä
7343,Coastal Steller's Jay
7348,Oncideres
7350,Aphanotriccus audax
7356,LeConte's Thrasher
7358,Tryella rubra
7359,Barnacle Goose
7360,Feldsperling
7362,Feral Pigeon
7363,Sinipta hectorisperonii
7366,Полевой воробей
7367,Серебристая чайка
7370,Xiphelimum amplipennis
7371,Common Diuca-Finch
7373,California Chipmunk
7380,Caburé grande
7381,Namaqua Rain Frog
7383,sonido ave
7388,Fiofío silbón
7389,Larus
7391,Tawny-faced Gnatwren
7398,Bassian Buzzer
7400,Boana multifasciata
7404,Slaty-backed Thornbill
7406,Onitis caffer
7407,Beccofrusone
7409,Mirla patinaranja
7410,Luisito Común
7413,遠東樹鶯
7420,Blue-banded and Allied Digger Bees
7423,Mésange charbonnière
7424,Punatulkku
7425,Wacholderdrossel
7426,Vihervarpunen
7427,Balkan Field Grasshopper
7430,African Black-shouldered Kite
7432,Variable Cracker
7435,Domestic Muscovy Duck
7439,Bihoreau gris
7443,Wheeler sotol
7444,Turdus mandarinus
7448,Садовая Камышевка
7450,Pauropsalta similis
7458,Fairy Flycatcher
7461,Least Grebe
7464,Stieglitz
7466,Eurasian Tree Sparrow
7469,Pigeon ramier
7470,Soldier Grasshopper
7472,Corneille mantelée
7476,bruant chanteur
7479,Western Golden Whistler
7480,Tryella castanea
7481,Corroboree cicada
7482,Wedge-tailed Shearwater
7483,Erdbeerfröschchen
7489,Corbeau freux
7491,Loxia curvirostra
7493,Sylvia subcaerulea
7498,Tarin des aulnes
7501,Antechinus flavipes
7502,Zorro gris de las Pampas
7506,Serinus canicollis canicollis
7507,Yellow Bishop
7510,Hekajee
7515,Havana syndrome cricket
7517,Calandria Cola Amarilla
7518,鳳頭蒼鷹(台灣亞種)
7519,Clanger
7523,Bruant rustique
7525,Red-vented Bulbul
7526,Spur-winged Goose (Southern)
7529,"Tits, Chickadees, and Titmice"
7530,Bugio-Ruivo
7534,Cucarachero bicolor
7536,quiscale bronzé
7541,Pikkuvarpunen
7542,White-necked Raven
7543,Cape Weaver
7546,Periquitão-maracanã
7551,Great Green Bush-cricket
7554,Northern Goshawk
7555,Kanahaukka
7560,Haussperling
7562,Sinitiainen
7564,Paloma asiática bravía
7568,Fuut
7572,Ruddy Turnstone
7576,Mustarastas
7579,Spreeuw
7582,Rana De Muslos Naranja
7587,Desert Song Sparrow
7593,Rhinella horribilis
7594,Pristimantis paisa
7597,Tristram's Starling
7598,Dorisiana noriegai
7603,Field Crickets
7605,Southern Spotted Cicada
7607,Mésange bleue
7608,Обыкновенная майна
7609,Черноголовый щегол
7611,Geoffroy’s Tufted-ear Marmoset
7616,Common Merganser
7625,Grive draine
7626,Graspieper
7638,Silkehale
7639,Psittaciformes
7643,Cabecitanegra austral
7644,Chickadees and Allies
7648,Mosquerito Ojos Blancos
7649,Sulphur-crested cockatoo
7653,Kohlmeise
7672,Kalalokki
7683,Peippo
7688,Asteroideae
7689,Graugans
7693,Eichelhäher
7694,Sapo-martelo
7695,Scinax perereca
7696,Filomedusa
7699,Physalaemus
7700,Spechte
7705,Blue-crowned Parakeet
7707,Northern Shoveler
7709,Ranita trepadora hocicuda
7712,Mugimaki Flycatcher
7713,Black-cheeked Ant-Tanager
7728,Apostlebird
7737,Common Cape Wagtail
7738,Richard's Pipit
7741,Deccan Ground Gecko
7743,troglodyte de Caroline
7759,geai bleu
7763,African Sacred Ibis
7764,African Reed Cormorant
7765,Cattle Egret
7771,Cardinalis cardinalis
7772,oaks
7776,White-winged Crossbill
7777,Brown-backed Solitaire
7778,Little Red Flying Fox
7782,Rufous Fantail
7790,Guyalna
7794,Noisy Friarbird
7809,Green-winged Teal (American)
7810,Ibis Ojos Rojos
7812,Saltadores
7813,White-throated Tyrannulet
7817,Geai des chênes
7819,Chiguanco
7820,Canard colvert
7822,Chardonneret élégant
7827,Black Bulbul
7832,Illyria hilli
7833,Loro Orejiamarillo
7835,Guacharaca Colombiana
7836,Black-backed Puffback
7839,Pied Currawong
7841,Scarlet-headed Blackbird
7851,Magpie-lark
7853,Varpuslinnut
7854,Taguató
7859,Illyria
7870,African Black Beetle
7874,Redwing
7876,Urutau-comum
7879,Coues's White-tailed Deer
7880,Collared Peccary
7891,Blaumeise
7896,Criquet des pâtures
7897,Stenobothrus
7898,Tikli
7901,Humpback Whale
7903,Blue-and-yellow Tanager
7909,White-browed Wagtail
7913,viitatiainen
7917,Australasian Swamphen
7918,New World Orioles
7927,Tirano pálido
7928,Allobates
7933,Pseudopaludicola matuta
7938,Daubenton's bat
7941,Cuban Tree Frog
7942,Hawaiian Hawk
7946,Domestic Chicken
7947,Пухляк
7954,Mésange à Tête Noire
7955,Gabita
7956,Pic Chevelu
7957,Osprey (Carolinensis)
7977,Upupa epops
7978,Gray Silky-flycatcher
7983,Black-pencilled Marmoset
7985,Plain Parakeet
7987,Pavoncella
7990,Canario Coronado
7993,Allophryne ruthveni
8004,小卷尾
8006,Tryella wuggubun
8007,Tangara azulgris
8009,Черноголовая гаичка
8010,Accenteur mouchet
8023,Sporophila lineola
8025,Milano cola blanca
8030,Elster
8034,Costa's Hummingbird
8036,Steere's Liocichla
8040,Garrapatero pijuy
8041,urraca común
8042,Седой дятел
8043,Iberian Green Frog
8050,Corneille de rivage
8053,Corneille noire x mantelée
8054,Semilleros
8067,Collared Kingfisher
8077,White-bellied Sea-Eagle
8082,Hyalinobatrachium mondolfii
8094,Capulinero gris
8109,Green Oropendola
8110,Nanday Parakeet
8111,"Herons, Egrets, and Bitterns"
8114,Águila arpía
8119,Australian King-Parrot
8121,Pentodontini
8132,Chiroptera
8137,Cygne tuberculé
8139,Eurasian Treecreeper
8142,Cincia alpestre
8143,Poecile
8148,大冠鷲
8149,Muscardin
8153,Eurepini
8155,Лазоревка
8157,arroyo lupine
8159,high-latitude oaks
8160,two-color rabbit tobacco
8161,California Maidenhair Fern
8162,Padre's Shooting Star
8163,catalina crossosoma
8167,Calandria Dorso Amarillo
8170,Sapo-de-chifre-da-Amazônia
8172,sýkora koňadra
8178,Eastern Evening Grosbeak
8179,Cuicacoches
8181,Boomklever
8186,Mountain Brushtail Possum
8188,Cegarrão-abelhudo
8189,Euryphara contentei
8191,Red-Banded Rubber Frog
8193,Tukeit Hill Frog
8200,Pijuí cola parda
8207,Alyte accoucheur
8208,Striped Marsh Frog
8217,Tannenhäher
8220,Stockente
8224,Chestnut-throated Seedeater
8228,Amerikaanse Visarend
8231,Türkentaube
8241,Gray-throated Chat
8243,Laubheuschrecken
8244,Southern Screamer
8260,Chachalaca vientre castaño
8272,Crimson Sunbird
8277,Седой Дятел
8280,pines
8286,Mottled Bush Cricket
8287,Cryptotympana aquila
8292,Irré
8295,Rainbow Lorikeet
8296,冠羽畫眉
8297,Fire-breasted Flowerpecker
8299,Cigarra-comum‑do‑sul
8300,褐鷽
8302,金背鳩
8303,山紅頭
8308,棕面鶯
8309,黃胸藪眉
8310,Gavião-carijó
8312,松鼠
8313,Black-necklaced Scimitar-Babbler
8315,黃雀
8321,Pale Brittlestem
8322,林鵰
8330,Yellow-vented Bulbul
8331,Golden-fronted Woodpecker
8337,Merle noir
8344,Moineau friquet
8357,Carpintero Olivo
8359,Purple Gallinule
8365,Common Tody-Flycatcher
8368,Gallineta negruzca
8373,Parker's Antbird
8374,Uniform Antshrike
8375,Sittelle à Poitrine Rousse
8380,Polycleptis
8391,樹鵲
8397,Greater Horseshoe Bat
8398,Cuicacoche Pico Curvo
8409,Domestic Greylag Goose
8410,Corneille noire
8411,Allobates ignotus
8417,Large Banded Grasshopper
8424,Zwarte Spreeuw
8425,赤腹松鼠臺灣亞種
8428,Kleidocerys resedae
8432,Kleiber
8434,Cacique pico claro
8435,Granatelo yucateco
8436,Coa Cabeza Negra
8437,Escribano soteño
8447,Kalij Pheasant
8452,Monjita Americana
8459,Merlo
8464,Red-rumped Parrot
8466,Taiwan Barbet
8467,Grus grus
8470,Scyllinula signatipennis
8482,Boana riojana
8499,Rana Venenosa de Rayas Amarillas
8502,Kalahari Scimitarbill
8503,zoborožec naříkavý
8505,Pacific Parrotlet
8517,grue blanche
8519,Schoeniophylax phryganophilus
8520,Urrao Antpitta
8527,Euplectrotettix ferrugineus
8532,Northern Shrike
8534,Red-wattled Lapwing
8535,黑領椋鳥
8537,Pristimantis erythropleura
8546,Phrygilus patagonicus
8554,五色鳥
8555,Tordo común
8556,Nilgans
8558,布氏樹蛙
8559,小雨蛙
8560,樹蛙亞科
8568,Strawberry Poison Dart Frog
8577,Ranita Rostral
8578,Phyllomedusa venusta
8585,Montserrat Whistling Frog
8586,Vermilion Flycatcher
8587,北美紅雀
8589,紅冠水雞
8591,Harmaalokki
8597,Gabbiano reale nordico
8609,朱鸝
8610,Corvus corax varius
8617,Yellow House Bats
8620,Grive litorne
8626,Corvus corax corax
8628,Wulp
8645,Grauspecht
8646,Kurixalus berylliniris
8648,闊褶蛙
8663,Dryocopus pileatus
8666,Western Rook
8674,Harmaapäätikka
8679,Comadreja
8706,Escarabajos de la madera
8708,Sitta europaea albifrons
8709,Green Crombec
8710,Cornacchia
8730,Cacomistle
8734,Matebele Ant
8736,Andean Flicker
8739,Коноплянка
8740,Heggenmus
8745,Domestic Mallard
8746,Kramsvogel
8747,Huismus
8753,Coracina papuensis
8754,Eastern and Western Meadowlarks
8755,South Island Rifleman
8757,Southeastern Black-backed Magpie
8761,Cyanoramphus
8773,Tjiftjaf
8777,Saltapared Barrado
8778,Brown Armoured Corncricket
8786,Σπιτοσπουργίτης
8789,British Great Tit
8805,Chiasmocleis bassleri
8811,Gray-cheeked Thrush
8814,Pimpelmees
8816,Poecile palustris palustris
8817,Oca grigia
8820,Haubenmeise
8822,Buchfink
8824,Common Waxbill
8828,Cardellino
8829,Lesser Meadow Katydids
8830,Hexacentrus mundurra
8831,White-nosed Coati
8832,Chiroptères
8844,Conocephalus vitticollis
8852,Agelaius
8862,Sierran Tree Frog
8871,Crested Serpent-Eagle
8873,saltator atriceps
8892,Lewin's Honeyeater
8895,Oligoglena gogalai
8906,Cinciarella
8913,New Zealand Brown Creeper
8915,reinita de nashville
8920,Momoto Cejas Azules
8921,鳥類
8924,Eastern American Toad
8927,Dunkle Erdhummel
8933,Southern Flying Squirrel
8958,Taccola
8961,Pouillot véloce
8970,Wróbel
8971,Ferreiriño real
8989,Montezuma Quail
8990,白頭鵯指名亞種
8995,Passériformes
9012,Rana arvalis
9015,Dryobates
9025,California Sea Lion
9035,Черный Дятел
9038,Zwarte wouw
9040,Long-billed Thrasher
9042,Mosquerito Espatulilla Común
9058,Обыкновенный Скворец
9073,Passera europea
9094,Murciélago Ratonero Ribereño
9099,Mirlo Dorso Canela
9103,Dryocopus martius
9104,Certhia familiaris
9105,Naakka
9107,Zwarte Kraai
9120,Groenling
9125,North American Osprey
9128,Diamante de Cabeza Parda
9131,Neoconocephalus
9139,Psaltoda mossi
9143,Prunella modularis
9145,Cornacchia grigia
9147,Mésange noire
9149,Colombaccio
9155,Groove-billed Ani
9157,Bec-croisé bifascié
9163,Kanadanhanhi
9164,Campylorhynchus brunneicapillus
9170,Pettirosso
9172,斯氏繡眼(臺灣先前稱綠繡眼)
9173,小白鷺
9180,Javan Myna
9181,Vencejo tijereta mayor
9182,Grote bonte specht
9183,Texas Carpenter Bee
9185,Maracaná Grande
9188,Gray Partridge
9196,Lesser Bladder Cicada
9197,Isthmian Wren
9198,Blue Seedeater
9204,Gnathoclita vorax
9211,輝椋鳥
9212,Asian Glossy Starling
9219,Atlantic Coast Leopard Frog
9234,Écureuil gris
9241,Anurogryllus
9247,Coppersmith Barbet
9250,Dryobates Woodpeckers
9258,Little Owl
9259,White-breasted Waterhen
9265,Red Junglefowl
9268,Rain Locusts
9286,moucherolle phébi
9297,Hooded Crow
9299,Kuusitiainen
9304,"Grillos, chapulines y parientes"
9305,Lesser Coucal
9307,Estorninho-Preto
9309,Garrulus glandarius
9310,Turdus merula
9317,Fasaani
9341,grimpereau brun
9346,Osprey (carolinensis)
9348,Anhinga
9350,Sturmmöwe
9353,Желтоголовый королёк
9362,Corneille d'Amérique
9363,Zwarte Roodstaart
9380,Grande Musaraigne
9385,Cinciallegra
9386,Picchio rosso maggiore
9388,Kneu
9391,Roitelet huppé
9397,Rampichino alpestre
9407,Australian Common Garden Katydid
9410,Euphagus carolinus
9411,Flesh-footed Shearwater
9414,Papamoscas Vientre Amarillo
9423,Trachyphonus vaillantii vaillantii
9426,Löwenzahn
9430,Pic noir
9455,Eurasian Oystercatcher
9457,Урагус
9485,史丹吉氏小雨蛙
9491,Caroline Islands White-Eye
9496,紅嘴黑鵯(台灣亞種)
9498,Cuculo
9510,Xílgaro
9515,Paraphractus abbreviatus
9516,Calandria grande
9529,bruant fauve
9540,Narrow-beaked Katydid
9555,robin
9574,mosquerito cabecigrís​
9579,Black Petaltail
9587,Common Ringtail Possum
9588,Calandria Castaña
9595,Cardellina pusilla chryseola
9596,Katydids
9604,Zenaida macroura
9605,Geai de Steller
9609,Roodborst
9610,Raniuszek
9620,Northern Pygmy-Owl (Mountain)
9621,Sturnella magna
9622,Great Antshrike
9623,Nutting's Flycatcher
9633,Springfrosch
9634,Чёрный Дятел
9640,Koptortosoma
9644,Rough Harvester Ant
9651,Озёрная чайка
9656,Common Reed Warbler
9660,Ground Woodpecker
9687,Eneoptera nigripedis
9692,California Tree Frog
9700,麻雀
9702,Habichte und Sperber
9704,Common Wood-Pigeon
9713,Passera mattugia
9722,Imatismus villosus
9733,Titmice
9734,Cachirla pálida
9758,spring peeper
9761,Rana gladiadora
9768,Slender-billed White-breasted Nuthatch
9774,Pie-grièche fiscale
9775,Sitta carolinensis
9780,Phoeniculus purpureus angolensis
9810,Mountain Chorus Frog
9817,Red-breasted Sapsucker
9819,Pseudocolopteryx citreola
9824,Halcón peregrino
9838,Florida Oblong-winged Katydid
9840,星鴉
9842,Ворон
9847,Slate-coloured Junco
9853,Pica pica melanotos
9857,Great Black-backed Gull
9859,Brandgans
9862,Tordela
9870,Glossy Black-Cockatoo
9872,Chardonneret mineur
9894,Västäräkki
9901,Black Redstart
9909,Pigeon Guillemot
9919,Dickschnabellumme
9929,Iberian Spadefoot Toad
9937,Grackles
9952,Carpintero Gigante
9953,Merel
9959,Pie bavarde
9960,Kottarainen
9961,Bergeronnette grise
9962,Erdkröte
9970,Mésange nonnette
9971,Ушастая Сова
9972,Slaty-tailed Trogon
9982,Gavina
10003,Búho Cara Blanca
10006,Eupsittula pertinax pertinax
10007,White Wagtail
10014,Selkälokki
10017,Bachstelze
10019,Common Ground Dove
10023,Loro Barranquero
10028,Fidicina toulgoeti
10030,Capitão-de-Saíra
10031,Tschudi's Tapaculo
10037,Colluricincla harmonica
10040,grue du Canada
10041,Spotted Barbtail
10050,Boomkruiper
10056,African Wood-Owl
10061,Little Swift
10065,pererequinha-verde
10067,Whistling Cisticola
10069,Garza dedos dorados
10071,African Blue Flycatcher
10073,White-rumped Hawk
10075,boobook
10078,Žaliosios meletos
10079,Ringeltaube
10087,Mew Gull
10091,Conocephalus laetus
10094,kotul rudohřbetý
10095,Grive musicienne
10097,Dreizehenmöwe
10117,Hook-faced Conehead
10122,Длиннохвостая синица
10123,Black-tailed Bumble Bee
10127,Hepatic Tanager
10130,Sporophila
10132,moqueur roux
10138,Ушастая сова
10139,Zanglijster
10140,Bécassine des marais
10141,Winterkoning
10165,Hoary Redpoll
10172,Eastern Spot-billed Duck
10179,Bronzed Grackle
10183,Mainland Tūī
10184,Белая Трясогузка
10189,Laulurastas
10192,Waldbaumläufer
10193,fish-eating bat
10206,Eastern Crowned Warbler
10212,ינשוף עצים
10214,Gekraagde  Roodstaart
10218,Quiscale Chanteur
10238,Cururu Toad
10246,Grey-headed Flying-fox
10249,Rotkehlchen
10251,Erica prolata
10254,Nebelkrähe
10257,Полевой жаворонок
10260,Lagonosticta rubricata rubricata
10264,vrabec polní
10266,Zwartkop
10272,Groundhog
10273,Feldgrille
10284,Певчий Дрозд
10285,Star
10287,Rosy Starling
10293,Hemppo
10296,Punakylkirastas
10298,Saatkrähe
10314,高蹺鴴
10320,Spotted × Eastern Towhee
10321,Lucy's Warbler
10336,Amethyst Sunbird
10346,European Field Cricket
10365,Bonte kraai
10367,Tadorne casarca
10394,Yellow-bellied Toad
10397,Gray-breasted Martin
10399,Cuculus canorus
10400,Nymphicus hollandicus (domestic type)
10408,Stone Marten
10416,Southeastern Field Cricket
10429,Cheveche d'Athéna
10437,Bienteveo alicastaño
10450,Bell Miner
10453,Дрозд-рябинник
10460,Oecanthus forbesi
10467,Picapeixe
10469,Cascabel de Diamantes
10475,Rouxinol
10483,Teichfrosch
10486,Piranga Tanagers
10498,Wahlberg's Epauletted Fruit Bat
10505,Corvus brachyrhynchos
10506,Black-crested Titmouse
10508,Collared Ground Cricket
10509,Large White-headed Gulls
10513,蒼頭燕雀
10514,Чиж
10519,Остромордая лягушка
10520,Пеночка-теньковка
10527,Lemon-bellied Crombec
10528,Cone-headed Katydid
10529,Karoo Scrub-Robin
10532,Eurasian Coot
10533,Boana prasina
10548,Welcome Swallow
10565,kos černý
10570,Pine Woods Sparrow
10593,Gorrión Canario Sabanero
10600,Singdrossel
10625,Colibrí pico ancho
10629,Papamoscas Verdoso
10642,Melopsittacus undulatus (domestic type)
10644,Gray Tree Frog Complex
10645,Bruant des roseaux
10646,Northern Beardless-Tyrannulet
10652,hvitryggspett
10654,Calandria Caperuza Negra
10655,Rauchschwalbe
10667,Epidalea calamita
10673,Purple-crowned Lorikeet
10677,Fan-tailed Cuckoo
10679,Yellow-rumped Tinkerbird
10684,Olive-backed Sunbird
10687,Pipistrelle De Nathusius
10688,Serotine Bat
10689,Common Noctule
10692,Green-tailed Cellophane Bee
10694,Social Flycatcher
10704,Pica-pau branco
10710,"Leafcutter, Mortar, and Resin Bees"
10712,Sterna
